Person,Task1_Judge1,Task2_Judge1,Task3_Judge1,Task4_Judge1,Task1_Judge2,Task2_Judge2,Task3_Judge2,Task4_Judge2,Task1_Judge3,Task2_Judge3,Task3_Judge3,Task4_Judge3,Task1_Judge4,Task2_Judge4,Task3_Judge4,Task4_Judge4,Task1_Judge5,Task2_Judge5,Task3_Judge5,Task4_Judge5,Task1_Judge6,Task2_Judge6,Task3_Judge6,Task4_Judge6,Task1_Judge7,Task2_Judge7,Task3_Judge7,Task4_Judge7
1,8,9,8.5,8.5,8.5,8.5,8.5,8.5,8,8,9,8,8,8,9,9,9,9,9.5,9,9,7.5,8.5,8,9,8,8,7.5
2,8.5,9,8.5,9,9,9,9,8.5,8,8.5,8.5,8,8,8.5,9.5,8.5,9,9,9,8,8.5,9,8.5,8.5,8.5,8,8,8
3,8.5,9,9.5,9.5,9,8.5,9.5,7,7.5,8.5,7.5,7,8.5,9,8.5,9,9.5,9.5,8.5,9,9,7,7,7.5,8.5,8,7.5,8
4,8.5,8.5,8.5,9,9,8.5,8.5,6.5,6,5.5,7,6.5,6.5,6,6.5,7,7.5,7,5,7,7,8,8.5,8,8.5,8.5,8.5,8
5,7.5,7.5,7.5,8.5,8,7.5,8,6.5,6,6,7.5,7,6.5,5,7.5,7.5,7.5,8,7,7.5,7,8,8,8,8.5,7.5,8,8
6,8,8.5,8,8.5,8,8,8,6,6,5.5,4.5,5.5,5.5,5,6.5,6.5,6.5,5.5,6,5.5,6.5,8,8.8,8,8.5,9,8,8
7,7.5,7.5,7.5,7,7.5,7.5,7,7.5,7.5,7,6.5,7.5,6,7,7,7,7.5,7,7,7.5,7,7.5,8,8,7.5,7.5,8,7.5
8,7.5,7.5,8,7.5,8,7,8,7.5,7,7,7.5,7,7,7,8,8,8,8,8.5,8,8,7,7,6.5,7,7,7,6.5
9,7.5,7.5,7.5,8,7.5,7,7,7,7,7.5,7.5,7,7,7,7.5,7,7,7,7.5,7,7,7,7,7,7.5,8,7,7
10,7.5,7.5,7.5,7,7.5,8,8,7,6.5,7.5,6.5,7,6.5,7,7,7.5,7,7,6.5,7,7,4.5,5.5,5.5,5,5,6,6
11,8,8,7.5,8,8,7.5,7,6,7.5,7.5,7.5,6.5,7,7,7,6.5,6.5,6.5,6.5,6.5,6.5,6,6.5,6,5.5,5.5,5.5,6
12,7,7.5,7.5,7.5,7.5,7.5,7.5,6,7.5,7.5,7.5,6.5,7,7,6.5,5.5,5.5,6,6,5.5,6,7,7.5,7.5,7.5,7.5,7,7.5
